x,y,width,height,num_cell,type,direction,tag,imid
1085.9999999999998,395.9999999999999,25,33,10,num,vertical,0,1
1153.0,395.9999999999998,25,33,10,num,vertical,1,1
1218.9999999999995,394.99999999999994,25,33,10,num,vertical,2,1
1286.0,395.99999999999994,25,33,10,num,vertical,3,1
1351.9999999999998,396.0,25,33,10,num,vertical,4,1
1418.9999999999995,392.99999999999994,25,33,10,num,vertical,5,1
1518.9999999999998,428.99999999999994,25,33,9,num,vertical,6,1
185.99999999999997,1103.9999999999998,33,29,5,char,horizontal,7,0
186.99999999999997,1137.9999999999998,33,29,5,char,horizontal,8,0
187.99999999999991,1170.9999999999995,33,27,5,char,horizontal,9,0
186.99999999999997,1204.9999999999995,33,27,5,char,horizontal,10,0
186.99999999999997,1237.9999999999995,33,27,5,char,horizontal,11,0
186.99999999999994,1271.9999999999993,33,27,5,char,horizontal,12,0
186.99999999999991,1305.999999999999,33,27,5,char,horizontal,13,0
186.99999999999991,1339.9999999999998,33,27,5,char,horizontal,14,0
188.99999999999991,1373.0,33,27,5,char,horizontal,15,0
187.99999999999997,1407.0000000000002,33,27,5,char,horizontal,16,0
187.0,1440.0,33,27,5,char,horizontal,17,0
190.0,1473.0,33,27,5,char,horizontal,18,0
190.0,1505.0,33,27,5,char,horizontal,19,0
187.99999999999997,1538.0,33,27,5,char,horizontal,20,0
188.99999999999997,1571.9999999999995,33,27,5,char,horizontal,21,0
188.99999999999997,1604.0,33,27,5,char,horizontal,22,0
186.99999999999997,1636.9999999999993,33,29,5,char,horizontal,23,0
185.99999999999997,1669.9999999999998,33,27,5,char,horizontal,24,0
188.99999999999997,1704.9999999999995,33,27,5,char,horizontal,25,0
185.99999999999997,1737.0000000000002,33,27,5,char,horizontal,26,0
186.99999999999997,1771.0,33,27,5,char,horizontal,27,0
189.99999999999994,1805.9999999999998,33,27,5,char,horizontal,28,0
188.99999999999997,1840.9999999999995,33,27,5,char,horizontal,29,0
186.99999999999997,1876.0000000000002,33,27,5,char,horizontal,27,0
188.99999999999994,1908.0,33,27,5,char,horizontal,31,0
187.99999999999997,1941.9999999999995,33,29,5,char,horizontal,32,0
188.99999999999997,1976.0,33,27,5,char,horizontal,33,0
188.0,2010.9999999999998,33,27,5,char,horizontal,34,0
188.99999999999997,2043.9999999999995,33,27,5,char,horizontal,35,0
187.99999999999997,2078.0,33,27,5,char,horizontal,36,0
586.0,1105.0,33,27,5,char,horizontal,37,0
587.0,1136.9999999999998,33,27,5,char,horizontal,38,0
585.0000000000001,1170.0,33,27,5,char,horizontal,39,0
587.0000000000001,1205.0,33,27,5,char,horizontal,40,0
586.0,1238.0,33,27,5,char,horizontal,41,0
587.0,1271.0,33,27,5,char,horizontal,42,0
585.0,1305.0,33,27,5,char,horizontal,43,0
585.0000000000001,1338.0,33,27,5,char,horizontal,44,0
585.0000000000001,1371.0,33,27,5,char,horizontal,45,0
587.0000000000001,1405.0,33,27,5,char,horizontal,46,0
